"type","duration","distance","hour","day","month","year"
"scooter",548,675,21,6,9,2018
"scooter",156,111,14,6,9,2018
"scooter",1127,26,16,6,9,2018
"scooter",1024,3000,9,5,9,2018
"scooter",303,1111,8,2,9,2018
"scooter",1413,2765,11,6,9,2018
"scooter",190,572,8,4,9,2018
"scooter",163,400,12,4,9,2018
"scooter",548,967,17,0,9,2018
"scooter",19,0,14,0,9,2018
"scooter",7612,12900,17,0,9,2018
"scooter",310,1259,13,1,9,2018
"scooter",179,740,19,5,9,2018
"scooter",200,500,9,3,9,2018
"scooter",159,0,12,1,9,2018
"scooter",543,2164,21,4,9,2018
"scooter",106,158,8,0,9,2018
"scooter",610,0,14,0,9,2018
"scooter",2240,1991,13,4,9,2018
"scooter",221,549,15,6,9,2018
"scooter",198,491,11,5,9,2018
"scooter",803,0,21,3,9,2018
"scooter",308,956,15,0,9,2018
"scooter",79,81,19,2,9,2018
"scooter",183,493,20,0,9,2018
"bicycle",474,1786,17,5,9,2018
"scooter",757,849,15,5,9,2018
"scooter",2983,6216,13,1,9,2018
"scooter",699,1777,9,1,9,2018
"scooter",388,792,9,6,9,2018
"scooter",398,1918,13,2,9,2018
"scooter",191,142,17,3,9,2018
"scooter",866,0,9,5,9,2018
"scooter",899,2165,14,5,9,2018
"scooter",343,887,9,2,9,2018
"scooter",1021,2285,16,0,9,2018
"scooter",128,267,10,5,9,2018
"scooter",130,0,12,6,9,2018
"scooter",146,375,13,2,9,2018
"scooter",561,0,16,0,9,2018
"scooter",982,2012,13,6,9,2018
"scooter",312,2041,11,6,9,2018
"scooter",423,744,17,5,9,2018
"scooter",426,872,13,6,9,2018
"scooter",296,0,13,3,9,2018
"scooter",15,11,17,0,9,2018
"scooter",478,641,19,6,9,2018
"scooter",1605,4200,15,0,9,2018
"scooter",166,597,14,1,9,2018
"scooter",258,909,18,3,9,2018
"scooter",505,2101,8,4,9,2018
"scooter",2304,6573,13,3,9,2018
"scooter",328,1230,16,0,9,2018
"scooter",441,951,15,6,9,2018
"scooter",231,553,17,6,9,2018
"scooter",25,0,8,0,9,2018
"bicycle",432,1609,12,2,9,2018
"scooter",238,840,12,4,9,2018
"scooter",189,617,20,3,9,2018
"scooter",1340,2552,16,2,9,2018
"scooter",222,551,10,3,9,2018
"scooter",309,1111,8,4,9,2018
"scooter",1184,0,15,6,9,2018
"scooter",154,204,8,5,9,2018
"scooter",1713,1068,14,5,9,2018
"scooter",184,0,11,3,9,2018
"scooter",901,640,15,6,9,2018
"scooter",487,1984,14,2,9,2018
"scooter",132,177,20,5,9,2018
"scooter",398,1379,14,6,9,2018
"scooter",803,819,15,1,9,2018
"scooter",636,1777,9,1,9,2018
"scooter",826,1422,15,0,9,2018
"scooter",206,558,1,6,9,2018
"scooter",213,761,9,5,9,2018
"scooter",4467,5730,13,6,9,2018
"scooter",1451,1710,12,6,9,2018
"bicycle",1837,3519,16,6,9,2018
"bicycle",858,4683,1,0,9,2018
"scooter",207,0,15,2,9,2018
"scooter",90,0,13,1,9,2018
"scooter",183,543,15,4,9,2018
"scooter",340,1047,13,4,9,2018
"scooter",282,699,3,3,9,2018
"scooter",1468,432,18,4,9,2018
"scooter",707,2660,22,0,9,2018
"bicycle",805,2977,8,4,9,2018
"scooter",651,1474,18,0,9,2018
"scooter",335,871,14,4,9,2018
"scooter",425,1244,6,6,9,2018
"scooter",672,1323,20,5,9,2018
"scooter",890,2891,11,6,9,2018
"scooter",152,336,18,6,9,2018
"scooter",678,0,19,5,9,2018
"scooter",1085,3351,17,5,9,2018
"scooter",428,600,13,4,9,2018
"scooter",362,476,17,4,9,2018
"scooter",2118,6187,18,6,9,2018
"scooter",204,401,16,6,9,2018
"scooter",535,1508,12,4,9,2018
"scooter",283,723,6,0,9,2018
"scooter",62,0,19,0,9,2018
"bicycle",1442,3879,18,1,9,2018
"scooter",307,866,10,5,9,2018
"scooter",63,0,19,5,9,2018
"scooter",285,701,19,6,9,2018
"scooter",239,661,15,5,9,2018
"scooter",192,475,10,5,9,2018
"scooter",203,488,11,3,9,2018
"scooter",152,0,16,1,9,2018
"scooter",57,31,8,5,9,2018
"scooter",84,0,16,4,9,2018
"scooter",293,967,14,3,9,2018
"scooter",905,1813,11,1,9,2018
"scooter",1191,2900,20,1,9,2018
"scooter",677,0,9,2,9,2018
"scooter",357,937,13,2,9,2018
"scooter",449,0,12,4,9,2018
"scooter",257,665,13,4,9,2018
"scooter",110,0,10,6,9,2018
"scooter",1021,4435,19,6,9,2018
"scooter",434,0,14,5,9,2018
"bicycle",7628,8143,17,6,9,2018
"scooter",196,0,20,5,9,2018
"scooter",527,433,19,6,9,2018
"scooter",186,408,14,0,9,2018
"scooter",85,0,20,4,9,2018
"scooter",435,1691,21,6,9,2018
"scooter",200,469,8,1,9,2018
"scooter",230,1176,6,2,9,2018
"scooter",393,905,13,5,9,2018
